ID,"        ""adj.P.Val""",P.Value,logFC,"        ""Gene.symbol"""
7985662,2.11E-10,1.38E-14,-0.44504132,PDE8A
8041383,2.11E-10,1.76E-14,-0.93159722,LTBP1
8112519,2.11E-10,1.90E-14,1.19286296,LOC441081
8003733,4.42E-10,5.55E-14,-0.35860077,SGSM2
8166065,4.42E-10,6.64E-14,0.84290531,TLR8
8105987,5.58E-10,1.01E-13,1.25560306,LOC441081
8122222,6.08E-10,1.28E-13,-0.96701669,PDE7B
7973110,9.31E-10,2.24E-13,1.65977672,RNASE2
7914950,1.39E-09,3.75E-13,0.93266516,CSF3R
8105989,2.25E-09,6.75E-13,1.58673929,LOC441081
8105935,3.96E-09,1.37E-12,1.56188728,LOC441081
8062041,3.96E-09,1.43E-12,0.66965551,ACSS2
8112476,4.16E-09,1.63E-12,1.38331815,LOC441081
7954293,5.54E-09,2.33E-12,-1.10078761,PDE3A
8047487,7.73E-09,3.48E-12,-0.71484118,FZD7
7937465,1.06E-08,5.08E-12,0.57112927,TALDO1
7946033,1.22E-08,6.24E-12,-2.30132301,HBB
8180303,1.79E-08,1.00E-11,2.27829517,SAA2
7909371,1.79E-08,1.02E-11,1.22162884,CR1
7926786,1.82E-08,1.09E-11,0.67444327,APBB1IP
8075637,2.95E-08,1.86E-11,-0.424366,LARGE1
8054479,5.26E-08,3.47E-11,-0.80286614,MALL
7943827,5.32E-08,3.67E-11,0.37003083,DLAT
7893104,5.62E-08,4.05E-11,-0.56595968,
7905571,5.77E-08,4.33E-11,1.65756052,S100A9
8099834,7.48E-08,5.84E-11,0.76879087,TLR1
8100798,7.58E-08,6.24E-11,1.0956112,SULT1B1
7959834,7.58E-08,6.38E-11,0.83602937,GLT1D1
8051396,7.70E-08,6.71E-11,0.78807169,NLRC4
8064451,8.71E-08,7.85E-11,0.52760366,SIRPB2
8108912,1.02E-07,9.46E-11,0.37573604,SH3RF2
8062108,1.69E-07,1.62E-10,-0.3491407,PROCR
7958174,1.71E-07,1.79E-10,0.69052743,TXNRD1
7991762,1.71E-07,1.80E-10,-1.93284867,HBA2///HBA1
7991766,1.71E-07,1.80E-10,-1.93284867,HBA2///HBA1
