,baseMean,log2FoldChange,abs(log2FC),lfcSE,stat,pvalue,padj
CSF3,68.07407089,4.852361822,4.852361822,0.495003666,125.7855201,3.42578E-29,1.68576E-26
SPRR2E,47.14769756,3.599939767,3.599939767,0.437272219,77.22442208,1.52595E-18,4.17161E-16
CXCL5,104.7036113,3.487230856,3.487230856,0.301829295,144.9722293,2.17787E-33,1.33961E-30
CCL20,412.3346515,3.146090204,3.146090204,0.165707623,-18.98579046,2.23547E-80,1.37504E-76
SPRR2D,365.3761159,2.981176529,2.981176529,0.197298091,-15.11001204,1.39114E-51,2.13923E-48
CSF2,45.55891098,2.981076824,2.981076824,0.412380312,54.7761391,1.35071E-13,2.8649E-11
IL6,114.4239897,2.928613881,2.928613881,0.275167504,114.847479,8.49892E-27,3.6053E-24
IFI27,319.9808809,2.897123086,2.897123086,0.374411061,-7.737813832,1.01141E-14,2.18287E-12
IL36G,271.4482972,2.73429441,2.73429441,0.17755659,238.3942603,8.80711E-54,2.70863E-50
XAF1,94.74943781,2.533035725,2.533035725,0.31835858,-7.956549274,1.76904E-15,4.03013E-13
MX1,427.8200828,2.51217385,2.51217385,0.198363082,-12.66452316,9.29836E-37,6.72873E-34
PDZK1IP1,133.0491871,2.429979913,2.429979913,0.244169051,-9.952038994,2.47068E-23,8.6841E-21
SAA2,576.0236324,2.424541694,2.424541694,0.128532569,-18.86324782,2.28728E-79,9.37939E-76
IFI6,203.7141021,2.346980119,2.346980119,0.565276552,-4.151914863,3.29705E-05,0.001940684
IL8,2374.644028,2.335173177,2.335173177,0.105233781,-22.1903381,4.2578E-109,5.238E-105
BCL2A1,66.24791834,2.290272197,2.290272197,0.326753143,49.93958219,1.58554E-12,3.19759E-10
MMP9,318.4500932,2.287329667,2.287329667,0.218545417,-10.46615251,1.23564E-25,4.90348E-23
IFI44L,134.2364397,2.280814132,2.280814132,0.6277324,-3.633417888,0.000279691,0.012030646
CXCL3,156.2324207,2.232358052,2.232358052,0.263841592,-8.460978543,2.65143E-17,6.93998E-15
SAA1,3317.372752,2.223957417,2.223957417,0.138607282,-16.04502586,6.19331E-58,1.90475E-54
MX2,60.85341305,2.222307293,2.222307293,0.373385235,-5.951781394,2.6524E-09,3.79416E-07
PGLYRP4,104.2198601,2.039496417,2.039496417,0.236218072,75.85553761,3.05195E-18,8.16198E-16
TNFSF14,33.04432667,1.994627993,1.994627993,0.41285483,23.67860114,1.13841E-06,9.93246E-05
